,,,KEY COVID COMPOUNDING RISKS,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTRY,ISO3,COVID Risk,Seasonal Risk,Food Insecurity,Conflict ,Fiscal,Economic and Financial,Fragility,NatCat Risk,Institutions,FISCAL,FRAGILITY,Average Risk Score,Count Flags
(a-z),(a-z),,,,,,,,,,,,,
Dominican Republic,DOM,6.9,7.4,0.0,0.0,0.0,4.0,2.3,6.7,5.6,4.6,2.8,3.2,4.0
Ecuador,ECU,6.1,#N/A,0.0,0.0,0.0,3.7,3.7,6.8,4.5,3.3,2.0,2.7,2.0
Egypt,EGY,6.2,#N/A,0.0,9.1,0.0,4.0,3.9,5.0,5.3,3.4,3.8,3.9,3.0
El Salvador,SLV,6.6,#N/A,4.0,0.0,0.0,4.0,3.0,6.5,5.8,3.5,2.7,3.3,3.0
Equatorial Guinea,GNQ,8.6,0.0,0.0,0.0,0.0,0.0,3.2,3.0,8.0,2.2,2.0,1.8,2.0
Eritrea,ERI,8.5,2.7,0.0,0.0,0.0,0.0,5.3,4.2,8.1,2.8,2.8,2.5,3.0
Estonia,EST,5.1,#N/A,0.0,0.0,0.0,4.0,0.9,0.9,2.6,3.0,1.2,1.2,1.0
Eswatini,SWZ,7.6,0.0,0.0,0.0,0.0,3.0,5.3,2.5,5.5,2.7,2.2,2.0,3.0
Ethiopia,ETH,7.4,1.9,6.0,0.0,7.0,3.0,6.6,4.5,4.6,4.8,4.8,4.2,3.0
Fiji,FJI,7.3,#N/A,0.0,0.0,0.0,5.0,3.5,3.9,2.3,4.1,2.2,2.1,2.0
Finland,FIN,3.6,#N/A,0.0,0.0,0.0,3.3,1.6,0.2,1.7,2.3,1.0,1.0,2.0
France,FRA,4.4,#N/A,0.0,0.0,0.0,3.3,2.8,3.5,2.8,2.6,1.4,1.8,1.0
Gabon,GAB,8.4,0.0,0.0,0.0,0.0,0.0,3.4,2.6,6.8,2.1,2.0,1.6,2.0
Gambia,GMB,7.8,0.0,0.0,0.0,10.0,5.7,5.3,3.1,4.7,5.9,3.9,3.6,3.0
Georgia,GEO,5.8,#N/A,0.0,0.0,0.0,4.7,4.8,4.4,4.4,3.5,2.1,2.6,2.0
Germany,DEU,4.2,#N/A,0.0,0.0,0.0,3.3,3.4,2.4,2.3,2.5,1.5,1.6,1.0
Ghana,GHA,7.3,0.0,0.0,1.0,7.0,2.7,4.3,3.6,4.6,4.2,3.3,2.9,1.0
Greece,GRC,5.4,#N/A,0.0,0.3,0.0,4.7,3.0,6.0,3.6,3.4,1.7,2.5,3.0
Grenada,GRD,7.4,0.3,0.0,0.0,10.0,5.0,1.7,1.7,4.9,5.7,3.2,3.0,2.0
Guatemala,GTM,7.4,#N/A,6.0,0.0,0.0,3.1,5.9,6.7,6.2,3.5,3.9,4.0,5.0
Guinea,GIN,7.9,0.0,2.0,0.0,0.0,3.0,4.6,3.9,6.0,2.7,2.4,2.4,2.0
Guinea-Bissau,GNB,8.9,0.0,0.0,0.0,0.0,5.4,5.8,2.7,8.0,3.6,2.5,2.7,4.0
Guyana,GUY,7.1,#N/A,0.0,0.0,0.0,3.3,3.1,3.9,5.8,3.5,2.0,2.3,4.0
Haiti,HTI,8.0,6.1,6.0,0.0,7.0,4.0,6.4,7.0,7.6,6.3,5.6,5.5,7.0
Honduras,HND,7.7,#N/A,4.0,0.2,0.0,4.0,5.4,6.5,6.0,3.9,3.5,3.7,5.0
Hungary,HUN,5.0,#N/A,0.0,0.0,0.0,3.0,1.5,3.6,3.1,2.7,1.3,1.6,0.0
Iceland,ISL,4.8,#N/A,0.0,0.0,0.0,4.3,0.8,2.2,2.2,3.0,1.1,1.4,1.0
